id,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
BIH,,,,1255802469,1866572954,2786045322,3671816504,4116699437,4685729739,5505984456,5748990666,6651226179,8370020196,10022840635,11225138297,12866524918,15776422673,19101454464,17600630727,17164279813,18629346791,17207367626,18154290272,18521475376,16173806635,16559695719
BWA,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9931134941,10126940513,10939053367,10945070442,10267133178,12786654366,15682926890,14686278714,14915780533,16259445050,14430608463,15274861068
BRA,602860000000,400599250000,437798577640,558111997497,785643456467,850425828276,883199443414,863723395088,599388879705,655421153321,559372502338,507962741820,558320116997,669316239316,891629970424,1107640325472,1397084381901,1695824517396,1667019605882,2208871646203,2616201578192,2465188674415,2472806919902,2455993200170,1803652649614,1796186586414
VGB,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19048495519,18093829923,17123125493,12930394938,11400266877
BGR,10943548387,10350515464,10829710145,9697416974,13063422619,10109404160,11195630537,14630974778,13495062850,13148099185,14135393876,16360346654,21074775206,26094622564,29821662537,34304448150,44765733380,54666642734,51783454184,50610031136,57418391042,53903028252,55758744571,56732006512,50199117547,52395164027
BFA,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,2993753187,2628920056,2812845514,3205592290,4205691222,4838551100,5462709498,5844669846,6771277871,8369637065,8369175126,8979966766,10724061339,11166061508,11934606510,12400688571,11148759325,12115155932
BDI,1167398478,1083037671,938632612,925030590,1000428394,869033856,972896268,893770806,808077223,870486066,876794723,825394490,784654424,915257323,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,3097324740,3007029030
CPV,319827059,357160985,490417390,406580652,487148994,501979069,490608658,521910561,592416703,539227278,563024383,620974660,813963830,924318491,971977088,1107891063,1513934037,1789333749,1711817182,1664310770,1864824081,1751888562,1850951315,1858121723,1574288668,1617467436
KHM,,,2533727592,2791435272,3441205693,3506695720,3443413389,3120425503,3517242477,3654031716,3984000517,4284028483,4658246918,5337833248,6293046162,7274595707,8639235842,10351914093,10401851851,11242275199,12829541141,14038383450,15449630419,16777820333,18049954289,20016747754
CMR,12434370005,11396310990,13532137228,9220470913,8733231184,9732328116,9840553236,9629649417,10486451144,9287367235,9633109350,10879778384,13621738837,15775357015,16587858857,17953066721,20431780378,23322254114,23381142147,23622483984,26587311528,26472056038,29567504655,32050817633,28415950981,24204448567
CAN,610328183643,592387689253,577170761956,578139279438,604031623433,628546387972,652825364726,631813279407,676082654641,742293448253,736379777893,757950678647,892380986368,1023196003075,1169357979865,1315415197461,1464977190206,1549131208997,1371153004986,1613464422811,1788647906048,1824288757448,1842628005830,1792883225804,1552807652015,1529760492201
CYM,,,,,,1012444074,,,,,,,,,,3207032513,,,,,,,,,,
CAF,1377375031,1411917558,1278781167,851174351,1115389732,1007791186,937741468,967338349,999477511,914500299,931833303,991387870,1139754799,1270080251,1350301057,1460562038,1698125618,1985239277,1981728141,1986014846,2212699747,2184183758,1518565219,1702898940,1583776760,1756124677
TCD,1877138042,1881847677,1463251055,1179837955,1445919970,1607345450,1544689503,1744794457,1534673583,1385058162,1709347793,1987622279,2736666516,4414929220,6646663561,7422102656,8638711443,10351932604,9253484108,10657705536,12156380425,12368071039,12949854263,13922223234,10888798114,9600761474
CHL,37834793730,45964327559,49297773130,57008425296,73447063319,78039572222,84952360922,81577430181,75173794497,77860932152,70979923960,69736811435,75643459840,99210392858,122964812046,154788024806,173605968179,179638496279,172389498445,218537551220,252251992029,267122320057,278384332694,260990299051,242517905162,247027912574
CHN,383372822300,426915227630,444730903968,564325246267,734548001964,863746361646,961603416246,1029043011922,1093997559885,1211346395439,1339395440432,1470549716081,1660287543796,1955347477286,2285965854313,2752132089197,3552182714427,4598205419719,5109954035776,6100620356557,7572554360443,8560546868812,9607224248685,10482371325325,11064664793256,11199145157649
COL,41239551378,49279585355,55802538219,81703500846,92507279383,97160109278,106659508271,98443739941,86186158685,99886577331,98203546156,97933391976,94684584163,117074863822,146566264837,162590146096,207416494642,243982437871,233821670544,287018184638,335415156702,369659700376,380191881860,378195716714,291519591533,282462548889
COM,246823429,266191040,263568114,185761823,231896230,230495751,212099635,215394066,222580454,203846428,220093812,246737679,317562269,368143119,380372893,406111874,462453583,523134897,524157261,530493353,586281767,570865941,618663922,647720707,565689765,616654490
COD,9087965282,8206227134,10707792340,5820383306,5643439262,5771454940,6090840548,6215591270,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14296507096,16364029327,19206060270,18262773821,20523285374,23849009738,27463220380,30014813756,34028119333,36188521107,34998638634
COG,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259783,3019993739,3495868808,4648628921,6087003176,7731261311,8394688284,11859014004,9593536531,12007880590,14425607224,13677930124,14085852120,14177437627,8553154506,7833509443
CRI,7168999428,8528593084,9537297507,10432619390,11513472694,11618286553,12552071367,13617405420,14195623425,14949514585,15913363335,16504795453,17195867540,18529767934,19952156475,22600431878,26743874287,30612932803,30562361123,37268635287,42262697840,46473128286,49745088112,50656002896,54840103850,57435507212
CIV,10492628915,11152971316,11045759469,8313557450,11000146839,12139234939,11722142706,12612033729,12376639823,10717022463,11192560827,12346919216,15306602560,16554441847,17084928927,17800887796,20343635320,24224903100,24277493862,24884505035,25381616734,27040562587,31273049200,35372603446,32828516580,36164644633
HRV,,,,,22387561845,23678012697,23822087053,25432144406,23386945597,21774273832,23289671102,26878499206,34658113497,41574530816,45416076681,50453577898,60093155533,70481451814,62703095751,59665427465,62236751773,56485301967,57769872075,57080369368,48676334689,50425333970
CUB,24316556026,22085858243,22367254865,28448326757,30429803651,25017300000,25366200000,25736331247,28364615242,30565400000,31682400000,33590500000,35901200000,38203000000,42643836075,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656100000,87132800000,
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,5770197348,6912150456,6590291048,7425703929,9826778784,9899623588,9594298746,10353506787,10614455232,10183317625,10567304189,11618269231,14576896942,17422375000,18703146375,20403713461,24077470572,27839460964,25942622951,25562251656,27427161523,25012206090,24054965481,23308212817,19559942331,19801664168
CZE,29557058174,34451993226,40452245779,47364869196,59537113791,66775046785,61621364981,66372594575,64719461255,61474265135,67375623427,81696651659,99300329682,118976023160,135990215967,155213006072,188818155388,235204812643,205729790694,207016402026,227948349666,207376427021,209402444996,207818330724,185156359571,192924593987
DNK,139224732275,152915624327,143195607582,156162311732,185006961302,187632400366,173537588008,176992000955,177965224621,164158800460,164791416350,178635160297,218095997085,251373036671,264467308109,282884912894,319423370134,353361056080,321241396034,321995350347,344003209696,327148899962,343584385594,352296969841,301307828844,306142937248
DJI,462421999,478058305,466048469,491689221,497723961,494004648,502675542,514267869,536080148,551230862,572417441,591122040,622044666,666072102,708633195,768873684,847918929,999105339,1049110685,1128611700,1239144502,1353632942,1455000000,1588000000,1727000000,
DMA,180437037,191759259,200418519,215459259,224037037,236444444,245781481,258440741,267740741,335845815,343119370,337695741,350091222,374771481,370370370,390370370,421375852,458190185,489074333,493824407,500988407,485905593,508447148,528178704,517218963,525424630
DOM,9724402004,11277676880,12976408000,14511134921,16358496124,18131813001,19593869595,21171523985,21709726722,23996063503,24892521237,26571620979,21277165886,22039232610,34004033804,35952845583,44169678153,48288967303,48376555306,53954579004,57746684847,60613645121,61965942057,65231032303,68102618092,71583553488
ECU,16988535268,18094238119,18938717359,22708673337,24432884442,25226393197,28162053027,27981896948,19645272636,18327764882,24468324000,28548945000,32432859000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,102292260000,100176808000,97802211000
EGY,36970555899,41855986519,46578631453,51897983393,60159245060,67629716981,78436578171,84828807556,90710704807,99838543960,97632008710,87850683979,82924503943,78845185293,89685725230,107484034871,130478960092,162818181818,188982374701,218888324505,236001858960,279372758362,288586231502,305529656458,332698041031,336296921759
SLV,5311000000,5954700000,6938000000,8085600000,9500500000,10315500000,11134700000,12008400000,12464700000,13134100000,13812700000,14306700000,15046700000,15798300000,17093800000,18550700000,20104900000,21430950000,20661030000,21418330000,23139040000,23813600000,24350930000,25054230000,26052340000,26797470000
GNQ,110906032,134707184,136047896,100807002,141853368,232463036,442337849,370687619,621117886,1045998496,1461139022,1806742742,2484745935,4410764339,8217369093,10086528699,13071718759,19749893536,15027795173,16298542028,21329395901,22389627294,21942597765,21461989483,12162117377,10178967206
