MKD,5,4.8,4.8,4.3,4.3,4.4,4.2,4.1
TLS,,1.2,0.6,0.8,0.7,0.9,1.2,1.3
TGO,1.5,1.4,1.9,1.9,1.7,1.9,2.1,2
TON,2.7,3.4,5.7,3.7,3.2,3.6,4.1,4.3
TTO,2.6,2,2.6,3,2.7,2.9,3.1,3.2
TUN,2.9,3,2.9,3.8,4.2,4.2,4.2,4
TUR,1.8,3.1,3.7,4.4,4.2,4.1,4.2,4.2
TKM,1.9,3.2,2,1.2,1.3,1.3,1.4,1.3
TUV,8,15.7,18.2,16.6,16.8,13.6,16.5,16.4
UGA,1.4,1.8,2.4,3.1,2.6,2.2,2.1,1.8
UKR,5.1,2.9,3.8,4.4,3.7,4.1,4.2,3.6
ARE,2.1,1.7,1.4,2.8,2.7,2.5,2.6,2.6
GBR,5.6,5.5,6.7,7.9,7.8,7.8,7.8,7.6
USA,5.9,5.7,6.7,8.1,8.1,8,8,8.3
URY,3.9,2.7,7.1,5.4,5.5,5.9,6.1,6.1
UZB,3.6,2.5,2.3,2.8,2.9,3.1,3.1,3.1
VUT,2.1,2.7,3.3,4.2,3.3,3.2,3.4,4.5
VEN,1.8,2.2,2.2,2.1,2.3,1.7,1.5,1.5
VNM,1.8,1.5,1.4,3,2.8,3.7,3.8,3.8
YEM,1.4,2.2,1.6,1.3,1.4,1.6,1.4,1.3
ZMB,2.2,3.7,4,2.3,2.1,2.5,2.8,2.8
ZWE,,4.4,2.7,1.7,2.1,2.8,2.8,2.5
