id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DOM,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<200,<100,<100,<100,<100,<100,<100
ECU,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<100,<100,<100,<100,<100,<100,<100,<100,<100
EGY,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
SLV,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
GNQ,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<200
ERI,<100,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<200,<200,<200,<100,<200,<200
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,8500,11000,14000,17000,20000,23000,25000,26000,27000,26000,25000,23000,21000,19000,17000,15000,13000,11000,9600,8900,8200,7100,5800,4700,3300,3400,3800
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,<200,<200,<200,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
GAB,<200,<200,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500
GMB,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<200,<500,<500,<200,<200
GEO,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,1500,2300,3200,4200,5100,5900,6500,6800,7100,7300,7300,7200,7000,6800,6400,6000,5600,5400,5400,5800,5600,4500,4000,4200,3900,3900,3000
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<500,<500,<500,<200,<200,<500,<200,<500,<500,<500,<500,<500,<500,<500
GIN,<1000,<1000,1100,1300,1400,1600,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1600,1700,1700,1700,1600,1600,<1000,<1000,1800,1300
GNB,<100,<100,<100,<100,<100,<200,<200,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500
GUY,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
HTI,2100,2300,2400,2400,2400,2300,2200,2100,2000,1900,1800,1700,1600,1500,1500,1300,1300,1200,1300,1300,1500,1100,<1000,<1000,<1000,<1000,<1000
HND,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<200,<200,<200,<200,<200,<100,<100,<100,<100,<100,<100,<100,<100,<100
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<1000,<1000,1000,1300,1600,1900,2200,2500,2300,2600,2700,2800,2800,3100,3200
IRN,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<100,<100
IRL,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
JAM,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
KEN,19000,23000,27000,31000,35000,37000,39000,40000,40000,40000,39000,37000,35000,33000,31000,28000,25000,22000,17000,16000,15000,12000,14000,14000,10000,6200,6100
KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGZ,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
LAO,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<100
LVA,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,<1000,<1000,<1000,<1000,<1000,1000,1100,1200,1300,1300,1300,1300,1200,1100,1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<1000,<500,<500,<500
LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
MDG,<100,<100,<100,<100,<100,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
MWI,15000,18000,19000,21000,22000,23000,25000,26000,26000,27000,27000,26000,26000,25000,24000,23000,22000,20000,18000,17000,17000,13000,11000,8900,7700,5600,4300
MYS,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,
