id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CIV,58000,65000,71000,76000,78000,80000,79000,77000,73000,67000,62000,52000,47000,43000,38000,33000,31000,28000,25000,27000,25000,24000,24000,23000,22000,21000,20000
PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,44000,47000,50000,53000,55000,57000,57000,56000,55000,54000,52000,48000,46000,42000,38000,35000,32000,29000,26000,23000,21000,20000,19000,17000,16000,14000,13000
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,<500,<500,<1000,<1000,1100,1400,1600,1700,1800,1700,1700,1400,1200,<1000,<1000,<1000,<1000,<1000,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<500
DOM,8500,11000,13000,14000,15000,15000,14000,13000,11000,9900,8300,7000,5900,5100,4300,3900,3800,3400,3200,3000,2700,2700,2700,2700,2700,2600,2500
ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,1900
EGY,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1100,1200,1300,1400,1600
SLV,1500,1600,1800,1900,2000,2100,2200,2200,2200,2200,2100,2100,2000,1900,1800,1700,1700,1600,1500,1500,1400,1300,1200,1200,1100,1000,<1000
GNQ,<1000,<1000,<1000,<1000,<1000,<1000,1000,1100,1300,1500,1700,1900,2100,2200,2400,2500,2600,2700,2700,2800,2600,2700,2700,2500,2300,2400,2300
ERI,1100,1700,2100,2600,2800,2700,2700,2600,2200,2000,1700,1500,1300,1100,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,99000,120000,140000,150000,160000,160000,150000,140000,120000,100000,85000,67000,54000,44000,35000,30000,26000,24000,22000,22000,23000,24000,25000,27000,28000,30000,30000
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,<200
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,,,,,,,,,,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6100,6100,6100,6100,6100,6000
GAB,2000,2600,3300,4100,4900,5600,6100,6400,6500,6300,6100,5400,4900,4400,4000,3600,3100,2800,2700,2500,2500,2500,2400,2300,2100,2000,1700
GMB,<200,<500,<500,<500,<1000,<1000,1100,1300,1600,1800,2000,2100,2200,2200,2200,2200,2100,2000,1900,1800,1600,1500,1400,1400,1400,1300,1300
GEO,<500,<500,<500,<200,<200,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1100,1100,1200,1100,1100,1100,1100
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,40000,51000,60000,67000,68000,63000,56000,47000,41000,35000,30000,26000,23000,21000,19000,18000,17000,16000,16000,16000,17000,17000,17000,18000,19000,20000,20000
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,<200,<500,<500,<1000,<1000,<1000,1400,1900,2400,3000,3200,3400,3800,3900,4000,3400,3100,2900,2600,2600,2300,2500,2600,2600,2700,2800,2900
GIN,7900,9100,10000,11000,12000,12000,11000,10000,9500,9400,9400,9200,9300,9800,9900,9900,9900,9600,9500,9300,8900,8700,8600,7700,8000,8700,8300
GNB,<500,<500,<1000,<1000,1200,1600,2100,2700,3300,3900,4500,4900,5200,5400,5300,5100,4600,4100,3600,3000,2600,2200,1900,1600,1600,1500,1300
GUY,<100,<200,<200,<200,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000
HTI,23000,20000,18000,15000,14000,12000,11000,12000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,10000,9500,9000,8700,8300,7900
HND,3900,4300,4600,4800,4700,4400,3900,3400,2900,2300,1800,1500,1200,1100,1100,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,63000,96000,140000,170000,210000,250000,270000,280000,280000,270000,250000,230000,200000,180000,170000,150000,140000,130000,120000,110000,100000,99000,96000,93000,89000,86000,80000
IDN,<200,<500,<1000,1400,2700,4800,8000,11000,14000,18000,23000,32000,43000,52000,57000,61000,64000,63000,61000,62000,61000,60000,58000,56000,53000,50000,48000
IRN,<500,<1000,<1000,<1000,<1000,1000,1600,2700,3200,4200,5400,6300,6900,7200,7500,8300,7700,7200,6600,6300,5800,5600,5500,5400,5300,5100,5000
IRL,,,,,,,,,,,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,9600,12000,12000,12000,12000,12000,8500,8400,8300,8200,8200,7800,7100,5900,6000,4900,4700,4400,4100,3800,3800,3800,3700,3700,3700,3600,3600
JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,1700
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
KAZ,<100,<200,<200,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,1100,1200,1300,1400,1600,1700,1900,2100,2200,2400,2500,2700,2800,2900,2900
KEN,180000,200000,220000,230000,230000,210000,200000,180000,160000,140000,120000,110000,100000,95000,92000,91000,89000,90000,83000,83000,79000,77000,78000,77000,73000,66000,62000
KWT,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
KGZ,<100,<100,<100,<100,<100,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
LAO,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<1000,<1000,<1000,1000,1100,1100,1100,1100,1100,1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
LVA,<500,<1000,1100,1100,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500
LBN,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
LSO,5100,9000,14000,20000,26000,31000,33000,33000,32000,29000,26000,24000,22000,21000,21000,20000,21000,21000,21000,21000,22000,21000,22000,23000,22000,22000,21000
LBR,8100,7000,7100,7000,6600,6200,6000,6600,6100,5200,4500,4300,3700,3100,2700,2500,2300,2300,2300,2400,2400,2500,2700,3000,3100,3000,2900
LTU,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
LUX,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200
MDG,<500,<1000,<1000,1100,1400,1700,2200,2300,2500,2400,2300,2000,1900,1700,1500,1400,1400,1500,1700,2000,2300,2500,2800,3200,3500,3900,4300
MWI,95000,100000,110000,110000,110000,100000,100000,100000,100000,97000,92000,88000,84000,81000,77000,74000,71000,68000,64000,61000,59000,54000,49000,45000,42000,39000,36000
MYS,7800,20000,19000,13000,12000,12000,13000,13000,13000,13000,12000,13000,13000,13000,12000,12000,11000,11000,10000,9500,8700,8200,7600,7000,6500,5800,5700
MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,8100,8600,9000,9500,10000,10000,11000,11000,11000,12000,11000,11000,11000,11000,9900,9500,8800,8400,7900,7200,6600,6300,6300,6600,6400,6100,5900
MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,<100
MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,<500
MEX,10000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
MNG,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
MNE,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
MAR,<500,<500,<500,<1000,<1000,<1000,<1000,1000,1200,1300,1400,1500,1600,1700,1800,1700,1700,1700,1700,1700,1600,1600,1400,1300,1200,1100,<1000
MOZ,29000,38000,50000,64000,79000,95000,110000,120000,140000,150000,160000,170000,180000,180000,170000,170000,170000,160000,160000,150000,150000,150000,140000,120000,100000,95000,83000
MMR,7300,15000,18000,16000,18000,19000,21000,26000,29000,34000,37000,35000,31000,28000,26000,24000,22000,21000,18000,16000,15000,14000,13000,13000,12000,12000,11000
NAM,5200,8000,11000,15000,19000,22000,24000,24000,23000,22000,20000,18000,17000,15000,14000,13000,12000,12000,11000,12000,12000,11000,11000,11000,10000,10000,9600
NPL,<100,<500,<500,1100,2100,3300,4200,4600,4800,5100,5300,5400,5400,5400,4900,4200,3500,3400,3000,2400,2200,2000,1700,1500,1300,1100,<1000
NLD,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1000,<1000,<1000,<1000,<1000,<500,<500
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,<1000,<1000,<1000,1100,1100,1200,1200,1200,1200,1100,1100,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<500,<500
NER,3200,3900,4900,5700,6600,7300,7700,8000,8100,8000,7600,7100,6500,5700,5000,4200,3600,3000,2700,2400,2000,2100,2100,2000,2000,2000,1800
NGA,150000,170000,200000,230000,270000,300000,330000,350000,360000,360000,340000,330000,310000,290000,270000,260000,240000,240000,230000,230000,230000,230000,220000,220000,210000,220000,220000
NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,1600,9400,9000,11000,13000,14000,14000,14000,15000,16000,17000,18000,19000
PAN,,,,,,,,,,,<1000,<1000,1000,1100,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1300,1300,1300
PNG,<500,<1000,<1000,1200,1700,2200,2800,3400,3800,4300,4500,4600,4500,4100,3800,3500,3200,3100,2800,2700,2700,2700,2700,2700,2700,2800,2800
PRY,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,1000,1200,1200,1300,1400,1500,1500,1400,1400,1300,1300,1300,1300,1300,1300,1300,1300,1300
PER,,,,,,,,,,,,,,,,,,,,,,,,,,,2700
PHL,<100,<100,<100,<100,<100,<100,<200,<200,<200,<500,<500,<500,<500,<1000,<1000,<1000,1200,1600,2100,3500,4300,4600,5300,6500,8000,9400,10000
POL,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,<500,<500,<500,<500,<500,<500,<500,1100,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1200,1300,1400,1400,1400,1300,1400,1400,1400,1500,1500,1600
ROU,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,20000,22000,22000,23000,23000,23000,26000,26000,25000,24000,22000,20000,18000,16000,14000,13000,9500,8900,8500,9200,9800,8800,9200,8000,7700,7700,7500
SAU,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<500
SEN,1400,1700,2100,2500,3000,3500,4000,4400,4800,5200,5300,5300,5200,4900,4500,3900,3300,3000,2500,2000,1800,1600,1500,1300,1400,1200,1100
SRB,<200,<200,<200,<200,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<500
SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,5300
SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200
SVN,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
SOM,1200,1500,1900,2300,2600,2900,3100,3300,3300,3300,3200,3000,2900,2800,2600,2300,2300,2200,2200,2100,2100,2000,1900,1900,1900,1800,1800
ZAF,60000,100000,160000,250000,340000,440000,500000,550000,560000,560000,540000,530000,520000,520000,510000,500000,490000,470000,450000,410000,380000,350000,340000,320000,300000,290000,270000
SSD,<1000,1100,2000,3200,5000,7300,10000,13000,16000,18000,19000,20000,20000,18000,18000,17000,17000,16000,15000,16000,16000,16000,16000,17000,17000,16000,16000
ESP,7800,6900,6300,5600,5200,4900,4700,4500,4400,4300,4200,4200,4200,4200,4200,4300,4300,4300,4300,4300,4300,4300,4200,4100,4000,4000,3900
LKA,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<1000,<1000
SDN,<1000,<1000,<1000,1100,1400,1600,1700,1900,2100,2300,2600,2900,3300,3800,4200,4600,4600,4900,4800,5100,5100,5100,5100,5100,5000,5000,5000
SUR,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
SWZ,4100,7700,12000,17000,21000,23000,23000,22000,21000,19000,17000,16000,15000,14000,13000,13000,13000,13000,13000,13000,13000,12000,12000,12000,11000,9800,8800
SWE,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,<100,<100,<100,<100,<100,<100,<100,<200,<500,<500,<1000,<1000,<1000,1100,1200,1400,1400,1400,1400,1400,1300,1300,1300,1200,1200,1200,1300
THA,130000,140000,140000,110000,89000,71000,58000,49000,43000,39000,35000,32000,29000,26000,23000,21000,18000,17000,15000,14000,13000,12000,11000,9700,8700,7300,6400
MKD,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,6700,8400,9900,11000,13000,14000,15000,15000,15000,15000,14000,13000,12000,11000,9900,8500,7600,6700,6200,5900,5500,4800,4700,4600,4500,4100,4100
TTO,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,1000,1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500
TUN,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500
TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,140000,130000,110000,100000,96000,95000,89000,92000,91000,93000,95000,99000,98000,100000,100000,110000,110000,100000,100000,110000,99000,94000,84000,74000,60000,54000,52000
UKR,2900,3900,5800,9200,15000,21000,27000,29000,28000,26000,24000,23000,21000,20000,18000,16000,15000,14000,13000,13000,16000,17000,17000,17000,17000,17000,17000
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,150000,160000,170000,180000,180000,170000,170000,160000,150000,140000,130000,120000,110000,100000,98000,91000,85000,79000,76000,73000,67000,67000,66000,62000,60000,58000,55000
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,,,,,,,,,,,,,,,,,,,,,,,,,,,<1000
UZB,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,1900,2600,3300,4100,4800,5400,5900,6200,6500,6700,6800,6900,7000,7100,7100,7100,7000,7000,7100,7100,7000,7000,7000,6900,6800,6600,6500
VNM,<500,<1000,1800,3400,6000,10000,15000,19000,22000,24000,26000,27000,28000,27000,25000,24000,23000,21000,19000,18000,17000,16000,15000,14000,13000,12000,11000
YEM,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1000,1100
ZMB,91000,100000,110000,120000,110000,110000,110000,99000,92000,85000,81000,78000,75000,74000,72000,69000,69000,72000,69000,68000,67000,68000,67000,68000,68000,62000,59000
ZWE,170000,180000,180000,180000,170000,160000,150000,140000,130000,120000,110000,110000,100000,97000,93000,91000,89000,88000,85000,83000,73000,66000,59000,55000,49000,44000,40000
Total,1900000,2200000,2500000,2700000,3000000,3100000,3200000,3200000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2400000,2300000,2200000,2200000,2100000,2100000,2000000,1900000,1900000,1800000
